GBP/CHF
Date,Open Price,High Price,Low Price,Close Price
2006-04-05,2.26340,2.26640,2.24550,2.25060
2006-04-04,2.26920,2.27160,2.26090,2.26320
2006-04-03,2.26320,2.27170,2.26060,2.26950
2006-03-31,2.26530,2.27150,2.26270,2.26310
2006-03-30,2.27200,2.27320,2.26330,2.26490
2006-03-29,2.28280,2.28380,2.26920,2.27070
2006-03-28,2.28530,2.28970,2.27350,2.28250
2006-03-27,2.28170,2.28870,2.28000,2.28480
2006-03-24,2.28480,2.29140,2.27960,2.28380
2006-03-23,2.28070,2.28730,2.27370,2.28400
2006-03-22,2.27370,2.28100,2.27130,2.28050
2006-03-21,2.26680,2.27660,2.26180,2.27390
2006-03-20,2.26620,2.27000,2.26250,2.26740
2006-03-17,2.26620,2.26980,2.26130,2.26520
2006-03-16,2.26390,2.27070,2.26130,2.26590
2006-03-15,2.27460,2.27570,2.26230,2.26380
2006-03-14,2.27310,2.27780,2.26890,2.27490
2006-03-13,2.27140,2.27630,2.26770,2.27380
2006-03-10,2.28010,2.28570,2.27160,2.27240
2006-03-09,2.27390,2.28310,2.26920,2.27950
2006-03-08,2.27950,2.28190,2.26960,2.27430
2006-03-07,2.27220,2.28140,2.27000,2.27980
2006-03-06,2.27640,2.27840,2.26880,2.27200
2006-03-03,2.27590,2.28300,2.27500,2.27700
2006-03-02,2.29760,2.29810,2.27510,2.27630
2006-03-01,2.29940,2.30120,2.29120,2.29720
2006-02-28,2.30130,2.30530,2.29480,2.30010
2006-02-27,2.29680,2.30190,2.29190,2.30120
2006-02-24,2.29140,2.29910,2.28990,2.29880
2006-02-23,2.28500,2.29350,2.28300,2.29210
2006-02-22,2.28310,2.28820,2.27870,2.28500
2006-02-21,2.27930,2.28870,2.27870,2.28260
2006-02-20,2.28150,2.28360,2.27610,2.27930
2006-02-17,2.28050,2.28610,2.27940,2.28150
2006-02-16,2.28000,2.28180,2.27030,2.27770
2006-02-15,2.27020,2.28290,2.26670,2.28030
2006-02-14,2.27670,2.27850,2.26670,2.26970
2006-02-13,2.27920,2.28110,2.27180,2.27640
2006-02-10,2.26270,2.28050,2.26070,2.27930
2006-02-09,2.26190,2.26620,2.25690,2.26220
2006-02-08,2.26270,2.26840,2.25680,2.26210
2006-02-07,2.27310,2.27590,2.26140,2.26270
2006-02-06,2.27800,2.28060,2.27070,2.27330
2006-02-03,2.28960,2.29260,2.27870,2.28030
2006-02-02,2.28720,2.29250,2.28390,2.28940
2006-02-01,2.27290,2.28990,2.27260,2.28710
2006-01-31,2.27510,2.27910,2.26900,2.27390
2006-01-30,2.26770,2.27770,2.26410,2.27590
2006-01-27,2.25860,2.27130,2.25610,2.26760
2006-01-26,2.25620,2.26450,2.25370,2.26010
2006-01-25,2.25030,2.25890,2.24850,2.25530
2006-01-24,2.24580,2.25510,2.24510,2.24950
2006-01-23,2.25830,2.25980,2.24410,2.24410
2006-01-20,2.25850,2.26690,2.25420,2.26190
2006-01-19,2.25650,2.26380,2.25150,2.25860
2006-01-18,2.26240,2.26350,2.24980,2.25630
2006-01-17,2.26070,2.26530,2.25170,2.26210
2006-01-16,2.26500,2.26770,2.25690,2.26140
2006-01-13,2.26200,2.27470,2.26040,2.26620
2006-01-12,2.25020,2.26760,2.24740,2.26230
2006-01-11,2.25940,2.26000,2.24310,2.24950
2006-01-10,2.25160,2.26300,2.25020,2.25900
